mat_name,unit,unitweight,alpha,E,Fy,Ry,Fu,Rt,rc_region
F1554 Gr36,Lb-In,0.284,7.20E-06,29000000,36000,1.5,58000,1.2,US
F1554 Gr55,Lb-In,0.284,7.20E-06,29000000,55000,1.1,75000,1.2,US
F1554 Gr105,Lb-In,0.284,7.20E-06,29000000,105000,1.1,125000,1.2,US
A449 Gr92,Lb-In,0.28179435,6.50E-06,29000000,92000,1.1,120000,1.2,US
A449 Gr81,Lb-In,0.282,6.50E-06,29000000,81000,1.1,105000,1.2,US
A449 Gr58,Lb-In,0.28179435,6.50E-06,29000000,58000,1.1,90000,1.2,US
A36 (anchor),Lb-In,0.284,7.20E-06,29000000,36000,1.5,58000,1.2,US
A307 GrC,Lb-In,0.284,7.20E-06,29000000,36000,1.5,58000,1.2,US
A325,Lb-In,0.284,7.20E-06,29000000,81000,1.1,105152,1.2,US
A325M,Lb-In,0.284,7.20E-06,29000000,95725,1.1,120381,1.2,US
A354 GrBD130,Lb-In,0.284,7.20E-06,29000000,130000,1.1,150000,1.2,US
A354 GrBD115,Lb-In,0.284,7.20E-06,29000000,115000,1.1,140000,1.2,US
A490,Lb-In,0.284,0.0000072,29000000,130000,1.1,150114,1.2,US
A490M,Lb-In,0.284,0.0000072,29000000,136335,1.1,150839,1.2,US
